t,o,h,l,c,v
1719301500000,60740.1,60833.5,60632.9,60693.2,164258.6
1719302400000,60693.3,60913.4,60681.4,60898.0,104271.7
1719303300000,60897.9,60921.7,60730.5,60761.5,83179.7
1719304200000,60761.5,60788.0,60688.0,60763.0,60145.6
1719305100000,60763.1,60888.0,60710.1,60868.6,48308.2
1719306000000,60868.6,60947.9,60839.8,60929.9,53760.3
1719306900000,60929.9,60980.0,60862.9,60935.7,53269.5
1719307800000,60935.1,61125.0,60898.9,61058.0,139152.6
1719308700000,61057.9,61622.4,61005.6,61454.7,451461.0
1719309600000,61454.6,61459.6,61239.6,61275.3,170935.2
1719310500000,61275.3,61345.0,61210.4,61290.0,70525.1
1719311400000,61290.0,61342.0,61167.1,61288.1,72453.3
1719312300000,61288.1,61396.0,61250.0,61308.1,59894.7
1719313200000,61308.1,61398.2,61275.4,61385.6,69405.8
1719314100000,61385.6,61502.8,61200.0,61221.7,114779.7
1719315000000,61221.7,61227.7,61146.4,61153.0,48963.5
1719315900000,61153.0,61317.0,61110.5,61188.2,60651.8
1719316800000,61188.2,61235.7,60957.1,61114.2,126704.0
1719317700000,61114.1,61253.2,61072.0,61232.3,63403.1
1719318600000,61232.3,61283.6,61080.0,61126.3,60456.1
1719319500000,61128.2,61160.3,61008.0,61057.8,61288.0
1719320400000,61058.0,61229.7,61041.0,61194.0,73813.2
1719321300000,61194.1,61279.6,61117.6,61254.7,66412.1
1719322200000,61254.6,61266.0,61013.6,61211.0,160636.4
1719323100000,61211.0,61443.7,61032.9,61199.9,194613.8
1719324000000,61200.0,61362.1,61152.1,61296.1,121008.5
1719324900000,61297.8,62150.0,61297.8,62091.7,638692.4
1719325800000,62091.7,62143.3,61841.9,61910.4,367819.7
1719326700000,61910.3,61950.0,61648.9,61771.9,210614.7
1719327600000,61771.9,61820.9,61328.0,61397.6,323806.2
1719328500000,61397.6,61868.4,61351.9,61768.3,236391.1
1719329400000,61764.9,61960.0,61759.0,61860.0,117124.8
1719330300000,61859.9,61920.0,61799.9,61819.6,102973.4
1719331200000,61819.6,61943.1,61700.0,61730.0,114010.2
1719332100000,61729.9,61788.6,61510.3,61591.3,108811.1
1719333000000,61591.4,61607.4,61470.0,61530.1,109991.3
1719333900000,61530.0,61545.0,61360.0,61390.3,91710.1
1719334800000,61390.2,61716.7,61333.6,61700.4,102103.6
1719335700000,61700.5,61788.1,61595.0,61750.0,63365.2
1719336600000,61750.0,61760.0,61559.5,61616.4,63447.4
1719337500000,61616.4,61646.1,61392.9,61393.0,70565.7
1719338400000,61393.0,61462.1,61134.0,61350.0,216990.7
1719339300000,61349.9,62031.0,61337.0,61984.2,311361.3
1719340200000,61984.1,62042.8,61870.8,62035.2,127282.6
1719341100000,62035.1,62250.0,61943.3,62154.8,310487.1
1719342000000,62154.8,62438.0,61908.0,61924.4,312117.1
1719342900000,61924.4,62027.9,61868.9,61957.9,66761.4
